b0;b1;b2;b3;c1;c2;c3;freq
3.572343916;1.427857919;0.006583195;0.928218624;-1.55288715;0.233412307;-0.413173751;100
3.60242845;1.440585372;0.020240513;0.903989638;-1.570182398;0.239646789;-0.413466042;40
3.715160703;1.507084446;0.08005547;0.806125913;-1.649279766;0.26163041;-0.409010998;25
3.828370609;1.520293758;0.110860628;0.764693291;-1.70808745;0.277085981;-0.409795575;20
4.037585858;1.485774671;0.118282804;0.797193795;-1.724209551;0.272507619;-0.434224944;14.29
4.205268703;1.337855345;0.042242196;0.968401717;-1.615362968;0.228655685;-0.49452411;10
4.308200315;1.179795432;-0.07779389;1.123873273;-1.447065683;0.161416982;-0.536742378;6.67
4.313528988;1.133203472;-0.154139242;1.215085871;-1.348592387;0.110800398;-0.517746503;5
4.258639861;1.121173911;-0.206152192;1.273436515;-1.294990293;0.085594919;-0.474396174;4
4.19346792;1.178703732;-0.220566831;1.291087023;-1.265199453;0.06945908;-0.43699551;3.33
4.102586933;1.219161327;-0.237795525;1.327193247;-1.231879898;0.058889607;-0.404611233;2.86
4.005923394;1.267298473;-0.245635514;1.354136953;-1.205207838;0.050293179;-0.378843116;2.5
3.906619842;1.306535119;-0.252862497;1.380952995;-1.191708844;0.04819891;-0.350608464;2.22
3.821128244;1.353939468;-0.256231346;1.373174818;-1.18179048;0.045126161;-0.327396827;2
3.644812585;1.433118871;-0.263918812;1.382494966;-1.161953772;0.039688834;-0.285189733;1.67
3.486034086;1.509895411;-0.266953622;1.4035134;-1.152315593;0.034285651;-0.240982964;1.43
3.40565757;1.535440216;-0.270555966;1.405732057;-1.146403473;0.035536195;-0.229743883;1.33
3.325697291;1.566406085;-0.270816738;1.406293287;-1.140903742;0.037128759;-0.219259317;1.25
3.181671883;1.620674739;-0.274825208;1.389767743;-1.128830507;0.039778528;-0.202819684;1.11
3.039742618;1.656854181;-0.280207952;1.388939736;-1.125443565;0.047527824;-0.184081348;1
2.790813903;1.728987629;-0.28594899;1.424185375;-1.126933534;0.060696552;-0.157327517;0.83
2.56350413;1.800669758;-0.283502353;1.444172504;-1.143785138;0.075163742;-0.132104808;0.71
2.341970132;1.867073096;-0.275438113;1.421648619;-1.158688424;0.093739519;-0.107691481;0.62
2.136315654;1.931494351;-0.262038711;1.43143154;-1.170922533;0.107162333;-0.093644275;0.56
1.961072501;2.002466515;-0.244989541;1.417741641;-1.182473633;0.114544676;-0.095706777;0.5
1.503414677;2.115600777;-0.205089447;1.456483579;-1.217316833;0.144895178;-0.090518881;0.4
1.065631726;2.197819495;-0.163440232;1.469401273;-1.2324673;0.166209577;-0.100588532;0.33
