tau;phiS2S;phiSS;tc3r;freq
0.551348422;0.683538939;0.511020144;0.276812638;100
0.555425545;0.685470075;0.51262556;0.273308472;40
0.570491306;0.695483795;0.521883305;0.251202601;25
0.586536149;0.714874422;0.530202573;0.253479768;20
0.612482109;0.749811112;0.538868188;0.290032671;14.29
0.618736719;0.763446983;0.542445514;0.336222337;10
0.592553465;0.744761258;0.536628318;0.338830526;6.67
0.567834565;0.720068987;0.527790533;0.317463561;5
0.539495637;0.704877163;0.519032832;0.310010691;4
0.512978164;0.693974124;0.514322688;0.280410532;3.33
0.487059246;0.686996145;0.508643694;0.267496769;2.86
0.463147586;0.685861278;0.503214717;0.256114247;2.5
0.444327713;0.686444115;0.496973662;0.240764276;2.22
0.427025204;0.684016215;0.489965086;0.231175017;2
0.392362416;0.683377704;0.479875529;0.210146664;1.67
0.368395357;0.685917067;0.473121201;0.20287443;1.43
0.356355629;0.686310663;0.469909969;0.194929045;1.33
0.344536669;0.689177931;0.46752856;0.18351394;1.25
0.327284257;0.68830005;0.463194467;0.169011183;1.11
0.309521561;0.682040722;0.460240504;0.16594691;1
0.280566768;0.677148225;0.455806545;0.154799998;0.83
0.26390926;0.673385586;0.450867187;0.137494951;0.71
0.251629348;0.668865585;0.450636188;0.139995693;0.62
0.240612096;0.66642145;0.452367848;0.143720089;0.56
0.231508107;0.662112572;0.452258403;0.140787974;0.5
0.223149446;0.647592786;0.452299163;0.13889146;0.4
0.223121563;0.639370847;0.452655826;0.140538459;0.33
