b0;b1;b2;b3;c1;c2;c3;
2.291608999;1.114061043;-0.084792129;1.091087866;-1.651222216;0.267899487;-0.268715933;f_100
2.316101694;1.114907436;-0.074673558;1.073246185;-1.671296523;0.273653732;-0.264475545;f_40
2.400304316;1.140895758;-0.023948513;0.993896863;-1.764772391;0.294492586;-0.232762216;f_25
2.506639945;1.109136836;-0.004791003;0.957838161;-1.847794159;0.310912575;-0.221504155;f_20
2.777369757;1.042402827;-0.003849081;1.011625612;-1.857192077;0.297269616;-0.292546014;f_14.29
2.988257908;0.940897139;-0.077624739;1.161235631;-1.684045396;0.236209575;-0.418165305;f_10
3.066497157;0.835117569;-0.199987452;1.288918499;-1.479592226;0.163319425;-0.480621595;f_6.67
3.075454459;0.88963412;-0.238644112;1.310482661;-1.379496966;0.117265916;-0.441946304;f_5
3.035014757;0.914920325;-0.274613083;1.361756611;-1.328604227;0.095123933;-0.392246206;f_4
2.975622374;0.995116224;-0.280680072;1.378275168;-1.29943043;0.079691943;-0.352208439;f_3.33
2.90159281;1.048496155;-0.293489327;1.40061852;-1.265966918;0.068496445;-0.320760187;f_2.86
2.808679944;1.084667577;-0.305220722;1.430609158;-1.240983471;0.06095325;-0.294616577;f_2.5
2.733977882;1.142644557;-0.309267163;1.448000716;-1.226736215;0.057218455;-0.26674396;f_2.22
2.666319215;1.190593122;-0.314397487;1.435273937;-1.215335285;0.052819154;-0.243832165;f_2
2.539255706;1.279322933;-0.323697782;1.455332782;-1.192687523;0.043533113;-0.21158709;f_1.67
2.453761323;1.394972627;-0.315996197;1.47412657;-1.176306427;0.034813315;-0.177126213;f_1.43
2.406742968;1.442685804;-0.312700019;1.476557159;-1.165926824;0.034570742;-0.16940127;f_1.33
2.358179129;1.491098285;-0.307506327;1.467679062;-1.159141815;0.035406684;-0.16123739;f_1.25
2.265503018;1.588071871;-0.296286151;1.434164107;-1.145325011;0.035738584;-0.143659101;f_1.11
2.163330333;1.644394977;-0.295986756;1.435909113;-1.136885282;0.040874978;-0.124224928;f_1
1.982647872;1.751928251;-0.295971021;1.47900326;-1.128627541;0.048649472;-0.096202583;f_0.83
1.786179476;1.839363453;-0.291742604;1.500269139;-1.136594182;0.061449665;-0.062722141;f_0.71
1.598472476;1.92332964;-0.280794309;1.473595159;-1.14525535;0.080413307;-0.030475356;f_0.62
1.436284844;1.983619401;-0.277459518;1.501296723;-1.144987099;0.090865151;-0.028352806;f_0.56
1.290927271;2.061419171;-0.265189733;1.487392124;-1.145864524;0.096408781;-0.036020194;f_0.5
0.879902716;2.214750668;-0.223975894;1.540268892;-1.16406655;0.121921835;-0.042627948;f_0.4
0.467285802;2.342358896;-0.173786177;1.541342383;-1.176591835;0.143183513;-0.055937753;f_0.33
