tau;phiS2S;phiSS;tc3r;
0.632392677;0.094455834;0.49769132;0.337603492;f_100
0.636931079;0.096012998;0.498912256;0.337314756;f_40
0.653004049;0.105626419;0.505377836;0.326754509;f_25
0.671112661;0.115881137;0.515126424;0.328419056;f_20
0.707527696;0.122969254;0.535497846;0.357156802;f_14.29
0.716555235;0.103300141;0.540835657;0.386759507;f_10
0.68123329;0.077118403;0.53372815;0.380802302;f_6.67
0.639854102;0.0574114;0.524375101;0.36031024;f_5
0.603948548;0.045655241;0.515310214;0.351086074;f_4
0.572631833;0.049110258;0.510187386;0.321284692;f_3.33
0.546742249;0.049685224;0.504796412;0.291616863;f_2.86
0.524857978;0.046852746;0.499103188;0.284835195;f_2.5
0.504514534;0.054728387;0.492554127;0.268135802;f_2.22
0.485221302;0.057180479;0.485628553;0.25815649;f_2
0.44637902;0.065843212;0.474824481;0.240932717;f_1.67
0.412461263;0.071929224;0.467923385;0.241755758;f_1.43
0.396052408;0.074648108;0.46533157;0.239692607;f_1.33
0.381708029;0.076630902;0.463120813;0.233479999;f_1.25
0.357892169;0.079686329;0.459046481;0.226305364;f_1.11
0.332084198;0.085046152;0.456243236;0.223406621;f_1
0.29280001;0.090815501;0.452227558;0.214453022;f_0.83
0.271187495;0.093223198;0.447310668;0.182914936;f_0.71
0.256193325;0.097059706;0.447182038;0.167989673;f_0.62
0.245179947;0.104532032;0.450403335;0.159755342;f_0.56
0.235706444;0.113900392;0.450638929;0.151377958;f_0.5
0.222711;0.130231655;0.450629799;0.153206188;f_0.4
0.216312196;0.134055135;0.448381417;0.159361615;f_0.33
