b0;b1;b2;b3;c1;c2;c3;
2.389980198;1.291506388;0.020371254;1.063834134;-1.925698297;0.277760839;-0.155686099;f_100
2.584536229;1.369340646;0.079790161;1.010485075;-2.07467613;0.268705974;-0.080625509;f_40
2.772952624;1.234364611;0.085027989;0.958696127;-2.238315059;0.280039954;-0.050492975;f_25
2.856922095;1.150446351;0.053649511;1.006568513;-2.198296641;0.28837661;-0.132857179;f_20
2.986442417;1.151388237;0.03508228;1.071261759;-2.022875829;0.269385843;-0.285838202;f_14.29
3.060910857;1.034986729;-0.058884552;1.241246757;-1.790928714;0.212859889;-0.410865417;f_10
3.079262175;1.037880454;-0.127930127;1.307464533;-1.564739635;0.146294883;-0.46010662;f_6.67
3.005866738;1.063631054;-0.177095012;1.361984461;-1.451664488;0.102434835;-0.432497629;f_5
2.916044989;1.130186284;-0.19440082;1.39345206;-1.391736708;0.082239364;-0.383486661;f_4
2.852637108;1.221795386;-0.195232165;1.396992544;-1.355603338;0.065957195;-0.342903616;f_3.33
2.797295998;1.257969201;-0.217874915;1.42202398;-1.316702663;0.052773924;-0.315324552;f_2.86
2.734952174;1.305100567;-0.227621885;1.435995819;-1.287391147;0.043013087;-0.291315313;f_2.5
2.668050226;1.34315116;-0.238506466;1.456408634;-1.271478882;0.039196436;-0.263887459;f_2.22
2.59832733;1.372579465;-0.251207193;1.459143429;-1.260329235;0.035207854;-0.241515194;f_2
2.470717504;1.443506127;-0.267727576;1.476864872;-1.236243742;0.027489675;-0.206920617;f_1.67
2.365239321;1.524792347;-0.273621843;1.498455056;-1.220998269;0.020984544;-0.169604341;f_1.43
2.306291224;1.552513177;-0.278946819;1.509647816;-1.21252381;0.021742286;-0.161596662;f_1.33
2.248127212;1.585430433;-0.280484205;1.505829172;-1.2053324;0.023274409;-0.153388001;f_1.25
2.151397831;1.647823888;-0.284833176;1.486155652;-1.190196068;0.025350083;-0.135721683;f_1.11
2.046462853;1.678736437;-0.29583679;1.496347308;-1.18195832;0.03143184;-0.116867432;f_1
1.875357553;1.762152344;-0.305283578;1.525946462;-1.178002878;0.041176215;-0.08077531;f_0.83
1.724569018;1.83325872;-0.313999086;1.564220347;-1.184461648;0.051442478;-0.056970373;f_0.71
1.599442668;1.901475959;-0.319200425;1.554648973;-1.187124783;0.066590414;-0.044268914;f_0.62
1.489159328;1.963108467;-0.32213861;1.579846575;-1.181863484;0.074068628;-0.054032951;f_0.56
1.403887045;2.049504714;-0.314301156;1.581545292;-1.177846567;0.076859195;-0.069801987;f_0.5
1.164248777;2.228139573;-0.288025208;1.646768438;-1.181244215;0.099611507;-0.087582944;f_0.4
0.936562346;2.437542721;-0.236211505;1.642647265;-1.176947261;0.120284432;-0.111207417;f_0.33
