tau;phiS2S;phiSS;tc3r;
0.590396868;0.178983294;0.520226267;0.29853708;f_100
0.614925536;0.207570312;0.566734188;0.270509783;f_40
0.647496881;0.213473606;0.596771082;0.249236988;f_25
0.655999426;0.201274111;0.587067966;0.278668017;f_20
0.665189049;0.183340597;0.565466116;0.329791688;f_14.29
0.66303874;0.155167219;0.551116509;0.36988758;f_10
0.620750824;0.151179756;0.538738321;0.364032587;f_6.67
0.588146758;0.15774822;0.52709418;0.340452887;f_5
0.551168279;0.166613821;0.516308429;0.332356765;f_4
0.519598643;0.173783201;0.510847332;0.299557676;f_3.33
0.493304851;0.177221084;0.505935723;0.280638435;f_2.86
0.468613626;0.178064625;0.5011206;0.26446179;f_2.5
0.450409471;0.181437353;0.494867992;0.244453183;f_2.22
0.433309368;0.18238965;0.487960325;0.231573212;f_2
0.397331984;0.185568156;0.477130975;0.210639781;f_1.67
0.373132567;0.188215429;0.469751978;0.208068543;f_1.43
0.360514168;0.189292764;0.466852907;0.203078727;f_1.33
0.347901614;0.191660989;0.464226312;0.193406365;f_1.25
0.328962991;0.192815321;0.459904498;0.180514515;f_1.11
0.30893663;0.196520918;0.456891437;0.174124429;f_1
0.277522535;0.198815848;0.452382877;0.159830578;f_0.83
0.260229405;0.203135735;0.447363842;0.140426982;f_0.71
0.245426901;0.208977201;0.449009002;0.144175945;f_0.62
0.236897764;0.222039995;0.453466301;0.148246391;f_0.56
0.229266006;0.232878815;0.455468231;0.14804897;f_0.5
0.22486714;0.249965407;0.463495275;0.151159264;f_0.4
0.224657413;0.251660001;0.471392913;0.14842265;f_0.33
